"Order_ID
(internal use)",vorder,var_code,Dataset name,Sweep / Year / Age,Area,Topic,"Collection 
Instrument","Questionnaire 
- general section","Questionnaire
- subsection/ scale",CAPI code,Respondent,About whom,Derived variable,Variable label,Value labels,Variable name,"Requested
(y = yes)","Research Purpose
(e = exposure,
c = confounder,
o = outcome)","Newly Requested (Amendment)
(y = yes)"
14789,36,612.068,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Hairstyle],(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0A,,,
14790,37,612.069,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Turban or other headwear] ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0B,,,
14791,38,612.07,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Posture - back not straight]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0C,,,
14792,39,612.071,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Posture - legs not straight]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0D,,,
14793,40,612.072,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Unable to stand still],(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0E,,,
14794,41,612.073,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Shoes were worn]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0F,,,
14795,42,612.074,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Socks were worn]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0G,,,
14796,43,612.075,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Other issue]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0H,,,
14797,44,612.076,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [None of these],(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0I,,,
14798,45,612.077,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Don t know]   ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0J,,,
14799,46,612.078,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Refused]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0K,,,
14800,47,612.079,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Vague irrelevant answer]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0L,,,
14801,48,612.08,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Tights were worn] ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0M,,,
14802,49,612.081,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTRL,Cohort Member,Cohort Member,Yes,IWR: Height measurement circumstances MC (A) [Wearning bandage/cast/plaster],(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCHTRL0N,,,
14803,50,612.082,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,HTEL,Cohort Member,Cohort Member,Yes,IWR: Whether further height information ,(-1.0) Not applicable  (1.0) Yes     (2.0) No      ,FCHTEL00,,,
14804,51,612.083,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Cardiovascular system,,,,BFCK,Cohort Member,Cohort Member,Yes,IWR: Confirm CM is not fitted with a pacemaker  ,(-1.0) Not applicable  (1.0) Young person has no pacemaker   (2.0) Young person has a pacemaker    ,FCBFCK00,,,
14805,52,612.084,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Cardiovascular system,,,,BFCKCHK,Cohort Member,Cohort Member,Yes,Check CM has pacemaker  ,(-1.0) Not applicable  (1.0) Yes     (2.0) No      ,FCBFCKCK,,,
14806,53,612.085,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTCM,Cohort Member,Cohort Member,Yes,Weight in kilos ,(-5.0) UNABLE TO OBTAIN HEIGHT MEASUREMENT     (-1.0) Not applicable  ,FCWTCM00,,,
14807,54,612.086,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,,Cohort Member,Cohort Member,Yes,Decimal part of weight in kilos (0.1kg steps)   ,(-1.0) Not applicable  (1.0) .1      (2.0) .2      (3.0) .3      (4.0) .4      (5.0) .5      (6.0) .6      (7.0) .7      (8.0) .8      (9.0) .9      (10.0) .0      ,FCWTCM1D,,,
14808,55,612.087,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,,Cohort Member,Cohort Member,Yes,Original WTCM value before WTCM1D added ,(-1.0) Not applicable  ,FCWTCMOR,,,
14809,56,612.088,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTCM1,Cohort Member,Cohort Member,Yes,Original WTCM value pre Edit,(-1.0) Not applicable  ,FCWTCMPE,,,
14810,57,612.089,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTST,Cohort Member,Cohort Member,Yes,CM Computed : Weight from WtCm / stones ,(-1.0) Not applicable  ,FCWTST00,,,
14811,58,612.09,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTPO,Cohort Member,Cohort Member,Yes,CM Computed : Weight from WtCm / pounds ,(-1.0) Not applicable  ,FCWTPO00,,,
14812,59,612.091,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTCMCHK1,Cohort Member,Cohort Member,Yes,IWR: Check weight measurement instruments MC (A) [Scales set to measure KG] ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTC1CK,,,
14813,60,612.092,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTCMCHK1,Cohort Member,Cohort Member,Yes,IWR: Check weight measurement instruments MC (A) [Weight corrct red frm scale]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTC2CK,,,
14814,61,612.093,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTCMCHK1,Cohort Member,Cohort Member,Yes,IWR: Check weight measurement instruments MC (A) [Weight keyed correctly]   ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTC3CK,,,
14815,62,612.094,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTCMCHK1,Cohort Member,Cohort Member,Yes,IWR: Check weight measurement instruments MC (A) [Measurement to be amended],(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTC4CK,,,
14816,63,612.095,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTCMCHK,Cohort Member,Cohort Member,Yes,IWR: Confirm weight ,(-1.0) Not applicable  (1.0) Yes     (2.0) No      ,FCWTCMCK,,,
14817,64,612.098,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTUN,Cohort Member,Cohort Member,Yes,IWR: Reason unable to measure weight (A) [Other],(-1.0) Not applicable  (1.0) Young person cannot stand unaided       (2.0) Young person self-conscious about weigh (3.0) Young person would not / could not stan (4.0) Young person refused    (5.0) Parent refused  (6.0) Problem with scales     (7.0) Other reason (PLEASE SPECIFY)   (8.0) Dont know      (9.0) Refused (10.0) Vague irrelevant answer ,FCWTUN00,,,
14818,65,612.099,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,BFPC,Cohort Member,Cohort Member,Yes,Body fat percentage ,(-5.0) UNABLE TO OBTAIN HEIGHT MEASUREMENT     (-1.0) Not applicable  ,FCBFPC00,,,
14819,66,612.1,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,BFPCD,Cohort Member,Cohort Member,Yes,Decimal part of body fat percentage (0.1% steps),(-1.0) Not applicable  (1.0) .1      (2.0) .2      (3.0) .3      (4.0) .4      (5.0) .5      (6.0) .6      (7.0) .7      (8.0) .8      (9.0) .9      (10.0) .0      ,FCBFPCD0,,,
14820,67,612.101,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,,Cohort Member,Cohort Member,Yes,Original BFPC value before BFPCD added  ,(-1.0) Not applicable  ,FCBFPCCK,,,
14821,68,612.102,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,BFPCCHK,Cohort Member,Cohort Member,Yes,IWR: Check Body Fat measurement ,(-1.0) Not applicable  (1.0) Yes     (2.0) No      ,FCBDFMCK,,,
14822,69,612.103,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,FEET,Cohort Member,Cohort Member,Yes,IWR: What was respondent wearing on their feet  ,(-1.0) Not applicable  (1.0) Barefoot        (2.0) Thin tights     (3.0) Thick tights / socks    (4.0) Other   ,FCFEET00,,,
14823,70,612.106,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,NOBF,Cohort Member,Cohort Member,Yes,IWR: Reason unable to measure body fat (A) [Other reason]   ,(-1.0) Not applicable  (1.0) Parent refused  (2.0) Young person refused    (3.0) Young persons feet not long enough     (4.0) Problem with scales     (5.0) Not able to take measurement for other  (6.0) Dont know      (7.0) Refused (8.0) Vague irrelevant answer ,FCNOBF00,,,
14824,71,612.107,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTAT,Cohort Member,Cohort Member,Yes,IWR: Number of attempts to take measurement ,(-1.0) Not applicable  ,FCWTAT00,,,
14825,72,612.108,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTATCHK,Cohort Member,Cohort Member,Yes,"IWR: High number of attempts, is this correct?  ",(-1.0) Not applicable  (1.0) Yes     (2.0) No      ,FCWTATCK,,,
14826,73,612.109,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTSC,Cohort Member,Cohort Member,Yes,IWR: Whether scales on uneven floor ,(-1.0) Not applicable  (1.0) Yes - uneven floor      (2.0) Yes - carpet    (3.0) No - neither    ,FCWTSC00,,,
14827,74,612.127,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTRL,Cohort Member,Cohort Member,Yes,IWR: Weight measurement circumstances MC (A) [CM wears shoes]   ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTRL0A,,,
14828,75,612.128,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTRL,Cohort Member,Cohort Member,Yes,IWR: Weight measurement circumstances MC (A) [CM wears more than light cloth]   ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTRL0B,,,
14829,76,612.129,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTRL,Cohort Member,Cohort Member,Yes,IWR: Weight measurement circumstances MC (A) [CM wear plaster cast upper limb]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTRL0C,,,
14830,77,612.13,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTRL,Cohort Member,Cohort Member,Yes,IWR: Weight measurement circumstances MC (A) [CM wear plaster cast lower limb]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTRL0D,,,
14831,78,612.131,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTRL,Cohort Member,Cohort Member,Yes,IWR: Weight measurement circumstances MC (A) [Unable to stand still],(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTRL0E,,,
14832,79,612.132,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTRL,Cohort Member,Cohort Member,Yes,IWR: Weight measurement circumstances MC (A) [Other issue]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTRL0F,,,
14833,80,612.133,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTRL,Cohort Member,Cohort Member,Yes,IWR: Weight measurement circumstances MC (A) [None of these],(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTRL0G,,,
14834,81,612.134,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTRL,Cohort Member,Cohort Member,Yes,IWR: Weight measurement circumstances MC (A) [Don t know]   ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTRL0H,,,
14835,82,612.135,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTRL,Cohort Member,Cohort Member,Yes,IWR: Weight measurement circumstances MC (A) [Refused]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTRL0I,,,
14836,83,612.136,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTRL,Cohort Member,Cohort Member,Yes,IWR: Weight measurement circumstances MC (A) [Vague irrelevant answer]  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCWTRL0J,,,
14837,84,612.137,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,WTEL,Cohort Member,Cohort Member,Yes,IWR: Any other information about weight and body fat measurement,(-1.0) Not applicable  (1.0) Yes     (2.0) No      ,FCWTEL00,,,
14838,85,612.138,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,PMRC,Cohort Member,Cohort Member,Yes,Measurement recorded for YP (height),(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCPMRC0A,,,
14839,86,612.139,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,PMRC,Cohort Member,Cohort Member,Yes,Measurement recorded for YP (weight),(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCPMRC0B,,,
14840,87,612.14,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,PMRC,Cohort Member,Cohort Member,Yes,Measurement recorded for YP (body fat)  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FCPMRC0C,,,
14841,88,612.141,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Anthropometry,,,,PMRC,Cohort Member,Cohort Member,Yes,Measurement recorded for YP (none)  ,(-1.0) Not applicable  (0.0) No      (1.0) Yes     ,FPPMRC0D,,,
14842,89,611.003,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Administration,,,,careHome,Cohort Member,Cohort Member,Yes,HH_IWinf - Is this a carehome interview ,(-1.0) Not applicable  (1.0) Yes     (2.0) No      ,FCCRHM00,,,
14843,90,611.004,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Administration,,,,Version,Cohort Member,Cohort Member,Yes,CM_IWinf - Script version   ,(-1.0) Not applicable  ,FCVERSG0,,,
14844,91,611.006,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Administration,,,,LengthSecs,Cohort Member,Cohort Member,Yes,CM_IWinf - Interview length in seconds  ,(-1.0) Not applicable  ,FCLSCSG0,,,
14845,92,611.007,mcs6_cm_interview.sav,Sweep 6 - 2015/6 - 14 years old,,Administration,,,,LengthMins,Cohort Member,Cohort Member,Yes,CM_IWinf - Interview length in minutes  ,(-1.0) Not applicable  ,FCLMNSG0,,,
